Бүртгэлийн дугаар,Худалдааны нэр,Олон улсын нэршилТун хэмжээNo,Эмийн хэлбэр ,Олгох нөхцөл,Үйлдвэрлэгчийн нэр,Улс,Хүчинтэй хугацаа,Бүртгүүлсэн байгууллага,Бүртгэлийн дугаар.1,Баркод,Баркод.1,,
F19971215NO00266,Миксагрип,Парацетамол + Фенилпропаноламин + Хлорфенамин,500мг+15мг+2мг,4x25,шахмал,Жоргүй,PT. Dankos Farma,Индонез,2022.12.15,Монфа трейд ХХК,20818852,,
F19971215NO00267,Миксафлу,Парацетамол + декстрометорфан + фенилпропаноламин + хлорфенамин,120 мг + 2.5 мг + 10 мг + 1 мг,4x25,шахмал,Жоргүй,PT. Dankos Farma,Индонез,2022.12.15,Монфа трейд ХХК,20318598,,
F19971215RO00268,Флюдитек,Карбоцистеин,2%-125мл,1,сироп,Жоргүй,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК,3400970000685,,
F20041030LP00381,Циклоферон,Акридонцууны хүчил + N-метилглюкамин,150мг+146мг,50,шахмал,Жороор,"Scientific Technological Pharmaceutical Firm "" POLYSAN "", LTD",ОХУ,2023.10.30,Моносфарм Трейд ХХК,4603191000772,,
F20041030LP00382,Циклоферон,Акридонцууны хүчил + N-метилглюкамин,12.5%+250мг+193мг-2мл,5,тарилгын уусмал,Жороор,"Scientific Technological Pharmaceutical Firm "" POLYSAN "", LTD",ОХУ,2023.10.30,Моносфарм Трейд ХХК,4603191001045,,
F20081030JP00384,Макропен,Мидекамицин,175мг/мл-115 мл,1,хөвмөлийн нунтаг,Жороор,"KRKA d.d., Novo Mesto",Словени,2023.10.30,Моносфарм Трейд ХХК,3838989566067,,
F19971215PP00193,Гельминтокс,Пирантел,125мг/2.5мл-15мл,1,хөвмөл,Жороор,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК,3400970000739,,
F19990715LP00409,Цисплатин-Эбэве,Цисплатин,10мг-20мл,1,тарилгын уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2022.07.15,Моносфарм Трейд ХХК, ,,
F19971215GP00195,Фарматекс,Бензалконы хлорид,1.2%-72г,1,тосон түрхлэг,Жоргүй,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК, ,,
F20041029DO00443,Акридерм СК,Бетаметазон,0.64мг/г-15г,1,тосон түрхлэг, ,Akrikhin JSC,ОХУ,2023.10.29,Тун эрдэнэ фарм трейд ХХК,4601969003598,,
F20041029DO00443,Акридерм СК,Бетаметазон,0.64мг/г-30г,1,тосон түрхлэг, ,Akrikhin JSC,ОХУ,2023.10.29,Тун эрдэнэ фарм трейд ХХК,4601969003604,,
F19971215GP00196,Фарматекс,Бензалконы хлорид,18.9мг,10,уртасгасан үйлдэлтэй лаа,Жороор,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК,3400970001088,,
F011219AP00864,Алмагель- А,Бензокаин + хөнгөн цагааны гидроксид + магнийн гидроксид,436мг+218мг+150мг/5мл-170мл,1,хөвмөл,Жороор,Balkanpharma-Troyan AD,Болгар,2019.12.19,Моносфарм Трейд ХХК,3800009121013,,
F20131203JP03491,Шар чичрэгийн эсрэг вакцин,Шар чичрэгийн эсрэг вакцин,2 доз,10,тарилгын уусмал бэлтгэх лиофилизат + уусгагч,Эмнэлгийн нөхцөлд хэрэглэнэ,"FSBSI ''Chumakov FSC R&D IBP RAS""",ОХУ,2023.12.03,Аглагмед ХХК,4603993000246,,
F20131203JP03490,Галзуугийн эсрэг вакцин,Галзуу өвчний идэвхгүйжүүлсэн вакцин (Хөлдөөж хатаасан),2.5 ОУН/1доз,5,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,"FSBSI ''Chumakov FSC R&D IBP RAS""",ОХУ,2023.12.03,Аглагмед ХХК,4603993000130,,
F20131203JP03493,Хачигт энцефалитын эсрэг вакцин,Хачигт энцефалитын эсрэг хатааж хөлдөөсөн вакцин,0.5мл-1доз,5,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,"FSBSI ''Chumakov FSC R&D IBP RAS""",ОХУ,2023.12.03,Аглагмед ХХК,4603993000147,,
F20121217JP03179,Геаливе,Гепатит А вирус (идэвхгүй),250I.U-0.5мл,1,тарилгын уусмал,Жороор,"Sinovac Biotech Co.,Ltd",БНХАУ,2022.12.17,Мөнхийн тун ХХК, ,,
F20121217JP03180,Геаливе,Гепатит А вирус (идэвхгүй),1мл,1,тарилгын уусмал,Жороор,"Sinovac Biotech Co.,Ltd",БНХАУ,2022.12.17,Мөнхийн тун ХХК, ,,
F20121217JP03181,Анфлю,Томуугийн улирлын вакцин,0.5мл,1,тарилгын уусмал,Жороор,"Sinovac Biotech Co.,Ltd",БНХАУ,2022.12.17,Мөнхийн тун ХХК, ,,
F20121217JP03182,Анфлю,Томуугийн улирлын вакцин,7.5мкг-0.25мл,1,тарилгын уусмал,Жороор,"Sinovac Biotech Co.,Ltd",БНХАУ,2022.12.17,Мөнхийн тун ХХК, ,,
F20060522NO02496,Нурофен /гүзээлзгэний амттай/,Ибупрофен,100мг/5мл-100мл,1,сироп,Жоргүй,Reckitt Benckiser Healthcare (UK) Limited,ИБУИНВУ,2025.05.22,Моносфарм Трейд ХХК,5000158100275,,
F20060522NO02496,Нурофен /гүзээлзгэний амттай/,Ибупрофен,100мг/5мл-150мл,1,сироп,Жоргүй,Reckitt Benckiser Healthcare (UK) Limited,ИБУИНВУ,2025.05.22,Моносфарм Трейд ХХК,5000158068032,,
F060522NN01421,Нурофен /жүржийн амттай/,Ибупрофен,100мг/5мл-100мл,1,сироп,Жоргүй,Reckitt Benckiser Healthcare (UK) Limited,ИБУИНВУ,2020.05.22,Моносфарм Трейд ХХК,5000158100329,,
F060522NN01421,Нурофен /жүржийн амттай/,Ибупрофен,100мг/5мл-150мл,1,сироп,Жоргүй,Reckitt Benckiser Healthcare (UK) Limited,ИБУИНВУ,2020.05.22,Моносфарм Трейд ХХК,5000158068025,,
F991124NP00025,Кавинтон,Винпоцетин,5мг/мл-5мл,10,тарилгын уусмал,Жороор,Gedeon Richter Romania S.A.,Румын,2020.11.24,Гедеон Рихтер ТГ, ,,
F991124NP00025,Кавинтон,Винпоцетин,5мг/мл-10мл,5,тарилгын уусмал,Жороор,Gedeon Richter Romania S.A.,Румын,2020.11.24,Гедеон Рихтер ТГ, ,,
F020316BP00899,Аминокапроны хүчил,Аминокапроны хүчил,5%-100мл,1,тарилгын шингэн,Жороор,Kraspharma JSC,ОХУ,2021.05.12,Моносфарм Трейд ХХК,4602521000550,,
F19991124GP00031,Окситоцин-Рихтер,Окситоцин,5ед-1мл,5,тарилгын уусмал,Жороор,Gedeon Richter Romania S.A.,Румын,2022.11.23,Орхон,5997001391464,,
F20020306BP00901,Глюкоз,Декстроз моногидрат,5%-400мл,1,тарилгын шингэн,Жороор,Kraspharma JSC,ОХУ,2021.03.06,Моносфарм Трейд ХХК,4602521000505,,
F19991124GP00033,Клион Д 100,Метронидазол + Миконазол,100мг + 100мг,10,үтрээний шахмал,Жороор,Gedeon Richter PLC,Унгар,2022.11.24,Гедеон Рихтер ТГ,5997001383384,,
F141019NO03970,Колдрекс,Парацетамол + фенилэфрин + аскорбины хүчил,500 мг + 5 мг + 30 мг,12,шахмал,Жоргүй,S.C. Europharm S.A.,Румын,2019.10.26,Моносфарм Трейд ХХК,4870206090947,,
F19991124NH00038,Галоперидол,Галоперидол,5мг-1мл,5,тарилгын уусмал,Жороор,Gedeon Richter Romania S.A.,Румын,2022.11.24,Орхон,5997001390740,,
F20141026CP03966,Вазомаг,Мельдоний,100мг/мл-5мл,10,тарилгын уусмал,Жороор,Olainfarm JSC,Латви,2024.10.26,Моносфарм Трейд ХХК,4750258313525,,
F020306JP00905,Канамицин,Канамицин,0.5г,50,тарилгын уусмал бэлтгэх нунтаг,Жороор,Sintez JSC,ОХУ,2020.03.06,Моносфарм Трейд ХХК,4602565012434,,
F141019JP03963,Амикацин,Амикацин,500мл-2мл,10,тарилгын уусмал,Жороор,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2019.10.26,Цомбо ХХК, ,,
L141019AO04011,Аскорутин,Аскорбины хүчил + Рутин,50 мг + 20 мг,10x10,шахмал,Жоргүй,Монос эмийн үйлдвэр,Монгол,2019.10.26,Моносфарм Трейд ХХК,8656020989164,,
L20141026SO04010,Нафазолин,Нафазолин,0.1%-10мл,1,спрей,Жоргүй,Монос эмийн үйлдвэр,Монгол,2024.10.26,Моносфарм Трейд ХХК,8656898927206,,
L20141026SO04009,Нафазолин,Нафазолин,0.1%-10мл,1,хамрын дусаалга,Жоргүй,Монос эмийн үйлдвэр,Монгол,2024.10.26,Моносфарм Трейд ХХК,8656020989669,,
F060707MP01523,Клафен,Диклофенак,100мг,6,лаа,Жороор,Antibiotice S.A.,Румын,2020.07.07,Тунамалмед ХХК,5944736007917,,
F20141026LP03962,Филжен,Филграстим,30 ед,1,тарилгын уусмал,Жороор,Bioprofarma Bago S.A,Аргентин,2024.10.26,Азифарма ХХК,7798021440990,,
F20141026JP03999,Сафоцид,Флуконазол + Азитромицин + Секнидазол,1000мг+150мг+1000мг,4,шахмал,Жороор,Lyka Labs Limited,Герман,2024.10.26,"""Нижегородский химико-фармацевтический завод""-ийн төлөөлөгчийн газар",4607143560529,,
L20141026BH04014,Натрийн бикарбонат,Бикарбонат натри,4%-100мл,1,тарилгын шингэн,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2024.10.26,Айвико ХХК,8656020738526,,
F141019RO03986,Септолет плюс,Бензокаин + цетилпиридиний хлорид,10мг+2мг/мл-30мл,1,спрей,Жоргүй,"KRKA d.d., Novo Mesto",Словени,2019.10.26,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989589707,,
L141019SO04017,Нафазолин,Нафазолин,0.1%-10мл,1,нүдний дусал,Жоргүй,Эв-Эрдэнэ эмийн үйлдвэр,Монгол,2019.10.26,Эв-Эрдэнэ ХХК, ,,
F19960325GP00138,Диане-35,Этинилэстрадиол + Ципротерон,0.035мг+2мг,21,бүрхүүлтэй шахмал,Жороор,Bayer Pharma AG,Герман,2023.03.25,Моносфарм Трейд ХХК,4008500018460,,
F20141026BO03972,Кардиомагнил,Ацетилсалицилийн хүчил,150мг,30,бүрхүүлтэй шахмал,Жоргүй,Takeda GmbH,Герман,2024.10.26,Моносфарм Трейд ХХК,4031083004599,,
F20141026BO03971,Кардиомагнил,Ацетилсалицилийн хүчил,75мг,100,бүрхүүлтэй шахмал,Жоргүй,Takeda GmbH,Герман,2024.10.26,Моносфарм Трейд ХХК,4031083004582,,
F140919LP03960,Доцетаксел Актавис,Доцетаксел,20мг/мл-7мл,1,концентраттай уусмал,Жороор,S.C. Sindan - Pharma S.R.L,Румын,2019.09.22,Актавис төлөөлөгчийн газар, ,,
F140919LP03960,Доцетаксел Актавис,Доцетаксел,20мг/мл-1мл,1,концентраттай уусмал,Жороор,S.C. Sindan - Pharma S.R.L,Румын,2019.09.22,Актавис төлөөлөгчийн газар, ,,
F20140922BP03959,Тахокомб,Тромбин + Фибриноген (125I),2ед+5.5мг /2.5х3см/,1,наалт,Жороор,Takeda Austria GmbH,Австри,2024.09.22,Моносфарм Трейд ХХК,9003638456448,,
F20140922BP03959,Тахокомб,Тромбин + Фибриноген (125I),2ед+5.5мг /9.5х4.8см/,1,наалт,Жороор,Takeda Austria GmbH,Австри,2024.09.22,Моносфарм Трейд ХХК,9003638456424,,
F20140922BP03959,Тахокомб,Тромбин + Фибриноген (125I),2ед+5.5мг /4.8х4.8см/,2,наалт,Жороор,Takeda Austria GmbH,Австри,2024.09.22,Моносфарм Трейд ХХК,9003638456370,,
F140719JP03855,Клавомед,Амоксициллин + Клавуланы хүчил,25мг/мл+6.25мг/мл-80мл,1,хөвмөлийн нунтаг,Жороор,Sedico Pharmaceuticals Company,Египет,2019.07.01,Мөнхийн тун ХХК, ,,
F140819DO03908,Илвадон,Сульфадиазин,10мг/г-30г,1,крем,Жоргүй,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2019.08.04,Фарм Мед Ресурс ХХК, ,,
F140819DO03908,Илвадон,Сульфадиазин,10мг/г-450г,1,крем,Жоргүй,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2019.08.04,Фарм Мед Ресурс ХХК, ,,
FT20140701GP03870,Гонал-Ф 300,Фоллитропин альфа,300ед-0.5мл,1,тарилгын уусмал,Жороор,Merck Serono S.p.A,Итали,2022.07.01,Баянгол мед ХХК,4607069190916,,
F20111129LP02903,Доцетаксел Эбеве,Доцетаксел,10мг/мл-16мл,1,концентраттай уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2021.11.29,Моносфарм Трейд ХХК, ,,
F19971215GP00190,Полижинакс,Неомицин + Нистатин + Полимиксин B,35000 ед + 100000 ед + 35000 ед,6,капсул,Жороор,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК,3400970000951,,
F20111129LP02903,Доцетаксел Эбеве,Доцетаксел,10мг/мл-8мл,1,концентраттай уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2021.11.29,Моносфарм Трейд ХХК, ,,
F20111129LP02903,Доцетаксел Эбеве,Доцетаксел,10мг/мл-2мл,1,концентраттай уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2021.11.29,Моносфарм Трейд ХХК, ,,
F19971215GP00190,Полижинакс,Неомицин + Нистатин + Полимиксин B,35000 ед + 100000 ед + 35000 ед,12,капсул,Жороор,Innothera Chouzy for Innotech International,Франц,2022.12.15,ВэллБий ХХК, ,,
F20121217LP03143,Паклитаксел-Эбеве,Паклитаксел,300мг-50мл,1,концентраттай уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2022.12.17,Моносфарм Трейд ХХК, ,,
F20121217LP03143,Паклитаксел-Эбеве,Паклитаксел,30мг-5мл,1,концентраттай уусмал,Жороор,Ebewe Pharma Ges.m.b.H. NFG. KG,Австри,2022.12.17,Моносфарм Трейд ХХК, ,,
F20140922DP03950,Полкодерм ТС,Тетрациклин + Триамцинолон,23.12мг+0.58мг-17г,1,спрей,Жороор,"Tarchomin Pharmaceutical Works ''Polfa"" S.A",Польш,2024.09.22,Тун Эрдэнэ фарма ХХК,5909990492015,,
F20140922DP03949,Оксикодерм,Окситетрациклин + Гидрокортизон,3.10мг+9.30мг-16.125г,1,спрей,Жороор,"Tarchomin Pharmaceutical Works ''Polfa"" S.A",Польш,2024.09.22,Тун Эрдэнэ фарма ХХК,5909990303618,,
F20140922DP03949,Оксикодерм,Окситетрациклин + Гидрокортизон,3.10мг+9.30мг-32.25г,1,спрей,Жороор,"Tarchomin Pharmaceutical Works ''Polfa"" S.A",Польш,2024.09.22,Тун Эрдэнэ фарма ХХК,5909990303625,,
F20140922AP03945,Метолон,Метоклопрамид,5мг/мл-2мл,5,тарилгын уусмал,Жороор,PT. Bernofarm Pharmaceutical Company,Индонез,2024.09.22,Монголфарм ХХК,8992001700077,,
F20140922AP03942,Клиран,Ондансетрон,8мг-4мл,5,тарилгын уусмал,Жороор,PT. Bernofarm Pharmaceutical Company,Индонез,2024.09.22,Монголфарм ХХК,8992001700053,,
F140919JP03940,Пицин,Ампициллин + Сульбактам,1000мг+500мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,PT. Bernofarm Pharmaceutical Company,Индонез,2019.09.22,Монголфарм ХХК, ,,
F140919JP03939,Сульбацеф,Цефоперазон + сульбактам,500мг+500мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,PT. Bernofarm Pharmaceutical Company,Индонез,2019.09.22,Монголфарм ХХК, ,,
F20140804AP03912,Грани - Денк,Гранисетрон,1мг/мл-1мл,5,тарилгын уусмал бэлтгэх концентрат,Жороор,Hameln Pharmaceuticals GmbH,Герман,2024.08.04,Денк фарма ХХК,4031571058264,,
F20140804AP03912,Грани - Денк,Гранисетрон,1мг/мл-3мл,5,тарилгын уусмал бэлтгэх концентрат,Жороор,Hameln Pharmaceuticals GmbH,Герман,2024.08.04,Денк фарма ХХК,4031571058271,,
F20140922RP03951,Окскорил,Сальбутамол + Бромгексин + Гвайфенезин + Рацементол,2мг+4мг+100мг+0.1мг-100мл,1,сироп,Жороор,Oxford Laboratories PVT. Ltd,БНЭУ,2024.09.22,Бэриш Фарм ХХК,8902034112044,,
F011219AP00864,Алмагель- А,Бензокаин + хөнгөн цагааны гидроксид + магнийн гидроксид,436мг+218мг+150мг,10,хөвмөл,Жороор,Balkanpharma-Troyan AD,Болгар,2019.12.19,Моносфарм Трейд ХХК, ,,
F011219AP00864,Алмагель- А,Бензокаин + хөнгөн цагааны гидроксид + магнийн гидроксид,436мг+218мг+150мг,20,хөвмөл,Жороор,Balkanpharma-Troyan AD,Болгар,2019.12.19,Моносфарм Трейд ХХК, ,,
F20140922NO03947,Гриппо флю /Глюквы/,Парацетамол + Фенилэфрин + Фенирамин,325мг+10мг+20мг+50мг,10,тунлагдсан нунтаг,Жоргүй,Marbiopharm JSC,ОХУ,2024.09.22,Монголфарм ХХК,460287600215556,,
F20140922NO03946,Гриппо флю /бөөрөлзгөнө/,Парацетамол + Фенирамин + Аскорбины хүчил,325мг+20мг+50мг+10мг,10,тунлагдсан нунтаг,Жоргүй,Marbiopharm JSC,ОХУ,2024.09.22,Монголфарм ХХК,460287600221617,,
F20140922SP03948,Дексоф,Дексаметазон + Неомицин,4мл,1,нүдний дусал,Жороор,Seng Thai Company Limited Partnership,Тайланд,2024.09.22,Доктор тун ХХК,8854927000320,,
F110116JP02656,Далацин Ц,Клиндамицин,150мг,16,капсул,Жороор,Pfizer,Франц,2021.03.17,Моносфарм Трейд ХХК,4601951000178,,
F110116JP02657,Далацин Ц,Клиндамицин,300мг,16,капсул,Жороор,Pfizer,Франц,2021.03.17,Моносфарм Трейд ХХК,4601951000185,,
F110131NP02668,Маброн,Трамадолын гидрохлорид,50мг,10,капсул,Жороор,Medochemie Ltd,Кипр,2021.01.31,Еврофарм ХХК,5290931000629,,
F110131RO02634,Гербион Ковслип /Хаварсал/ сироп,Гербион сироп,150мл,1,сироп,Жоргүй,"KRKA d.d., Novo Mesto",Словени,2021.01.31,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989513948,,
F20110408AP02683,Метформин Денк 1000,Метформин,1000мг,30,бүрхүүлтэй шахмал,Жороор,Denk Pharma GmbH & Co.KG,Герман,2021.04.08,Денк фарма ХХК,4031571064159,,
F110408AP02688,Глимепирид Денк 3,Глимепирид,3мг,30,шахмал,Жороор,Denk Pharma GmbH & Co.KG,Герман,2021.04.08,Денк фарма ХХК,4031571061820,,
F110408CP02684,Лозар-Денк 50,Лозартан,50мг,28,бүрхүүлтэй шахмал,Жороор,Denk Pharma GmbH & Co.KG,Герман,2021.04.08,Денк фарма ХХК,4031571063039,,
F110408CP02685,Лозар-Денк 100,Лозартан,100мг,28,бүрхүүлтэй шахмал,Жороор,Denk Pharma GmbH & Co.KG,Герман,2021.04.08,Денк фарма ХХК,4031571063053,,
F20110408DO02698,Д-пантенол Нижфарм-плюс,Хлоргексидин + Декспантенол,52.5мг+8.02мг-30г,1,крем,Жоргүй,Nizhpharm JSC,ОХУ,2020.12.11,"""Нижегородский химико-фармацевтический завод""-ийн төлөөлөгчийн газар",4601026309021,,
F110408GO02700,Бенатекс,Бензалконы хлорид,18.9мг,10,лаа,Жоргүй,Nizhpharm JSC,ОХУ,2021.04.08,Азифарма ХХК,4601026303470,,
F110408JP02687,Докси-Денк 100,Доксициклин,100мг,20,шахмал,Жороор,Artesan Pharma GmbH & Co.KG for Denk Pharma GmbH & Co.KG,Герман,2021.04.08,Денк фарма ХХК,4031571052163,,
F110516BP02706,Зиллт,Клопидогрел,75мг,14,бүрхүүлтэй шахмал,Жороор,ООО.КРКА-Фарма,Хорват,2021.04.13,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989535612,,
F110516BP02706,Зиллт,Клопидогрел,75мг,28,бүрхүүлтэй шахмал,Жороор,ООО.КРКА-Фарма,Хорват,2021.04.13,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989535629,,
F110516BP02724,Дицинон,Этамзилат,250мг,100,шахмал,Жороор,"Lek Pharmaceuticals d.d,",Словени,2021.05.12,Моносфарм Трейд ХХК,3838957900640,,
F110516CP02717,Эбрантил,Урапидил,30мг,30,"капсул, удаан чөлөөлөгдөх",Жороор,Takeda GmbH,Герман,2021.05.02,Никомед ТГ,4031083004568,,
F20110502JP02730,Дифлюкан,Флуконазол,150мг,1,капсул,Жороор,Fareva Amboise,Франц,2021.05.02,Моносфарм Трейд ХХК,5413973043113,,
F20110502JP02731,Дифлюкан,Флуконазол,50мг,7,капсул,Жороор,Fareva Amboise,Франц,2021.05.02,Моносфарм Трейд ХХК,5413973041119,,
F110502JP02734,Флексид 250,Левофлоксацин,250мг,10,бүрхүүлтэй шахмал,Жороор,"Lek Pharmaceuticals d.d,",Словени,2021.05.02,Моносфарм Трейд ХХК, ,,
F110502JP02735,Флексид 500,Левофлоксацин,500мг,10,бүрхүүлтэй шахмал,Жороор,"Lek Pharmaceuticals d.d,",Словени,2021.05.02,Моносфарм Трейд ХХК,3838957027484,,
F110502JP02736,Ванкорус,Ванкомицин,1г,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Sintez JSC,ОХУ,2021.05.02,Азифарма ХХК,4602565011376,,
F110502JP02738,Уназин,Ампициллин + сульбактам,750мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Haupt Pharmaceutical Latina S.R.L,Итали,2021.05.02,Моносфарм Трейд ХХК,5413973142113,,
F110502JP02739,Уназин,Ампициллин + сульбактам,1.5г,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Haupt Pharmaceutical Latina S.R.L,Итали,2021.05.02,Моносфарм Трейд ХХК,5413973143110,,
F110502JP02740,Уназин,Ампициллин + сульбактам,3г,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Haupt Pharmaceutical Latina S.R.L,Итали,2021.05.02,Моносфарм Трейд ХХК, ,,
F110502JP02741,Уназин,Сультамициллин,375мг,12,бүрхүүлтэй шахмал,Жороор,Haupt Pharmaceutical Latina S.R.L,Итали,2021.05.02,Моносфарм Трейд ХХК, ,,
F110516JP02743,Эритромицин Протех,Эритромицин,250мг,10x10,шахмал,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.05.12,Их Төгөл ХХК,8934574091633,,
F110516JP02744,Проципро-500,Ципрофлоксацин,500мг,10,шахмал,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.05.12,Их Төгөл ХХК,8901783000022,,
F110516JP02745,Кларитромицин Протех-500,Кларитромицин,500мг,10,шахмал,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.05.12,Их Төгөл ХХК,8901783003221,,
F110516LP02721,Уро-Ваксом,Бактерийн лиофилизатжуулсан лизат /E.Coli/,6мг,30,капсул,Жороор,OM Pharma SA,Швейцари,2021.05.02,Моносфарм Трейд ХХК,7681900598014,,
F110516RP02729,Бронхо Мунал,Бактерийн лиофилизатжуулсан лизат,7мг,10,капсул,Жороор,OM Pharma SA,Швейцари,2021.05.02,Моносфарм Трейд ХХК,3838957901708,,
F110912GN02807,Микорил 100,Клотримазол,100мг,6,үтрээний шахмал,Жоргүй,Remedica Ltd,Кипр,2021.09.12,Монголфарм ХХК,5290665002142,,
F20110718AP02758,Фресубин,Уураг + Тосны хүчлүүд + Поливитамин Эрдэс бодис,500мл,1,хөвмөл,Жороор,Fresenius Kabi SSPC,БНХАУ,2021.07.18,Л - Хоёр ХХК,6910672030011,,
F20110718AP02759,Фресубин энержи фибре,Уураг + Тосны хүчлүүд + Поливитамин Эрдэс бодис,500мл,1,хөвмөл,Жороор,Fresenius Kabi SSPC,БНХАУ,2021.07.18,Л - Хоёр ХХК,6910672030035,,
F20110718AP02760,Фресубин 750 МСТ,Уураг + Тосны хүчлүүд + Поливитамин Эрдэс бодис,500мл,1,хөвмөл,Жороор,Fresenius Kabi SSPC,БНХАУ,2021.07.18,Л - Хоёр ХХК,6910672030073,,
F20110718AP02761,Суппортан,Уураг + Тосны хүчлүүд + Поливитамин Эрдэс бодис,200мл,1,хөвмөл,Жороор,Fresenius Kabi SSPC,БНХАУ,2021.07.18,Л - Хоёр ХХК,6910672030059,,
F110718BP02757,Феррум Лек,Төмрийн полиизомальтозат,100мг,30,зажилдаг шахмал,Жороор,"Lek Pharmaceuticals d.d,",Словени,2021.07.18,Моносфарм Трейд ХХК,3838957043712,,
F110716CN02764,Троксерутин-Мик,Троксерутин,200мг,50,капсул,Жоргүй,Minskintercaps UV,Беларусь,2021.03.17,Ач Үр ХХК,4810046000454,,
F20110718HP02754,Преднизолон Никомед,Преднизолон,5мг,30,шахмал,Жороор,Takeda Austria GmbH,Австри,2021.07.18,Никомед ТГ,9003638235807,,
F20110718JP02767,Кловир,Ацикловир,200мг,10x10,шахмал,Жороор,XL Laboratories PVT.Ltd,БНЭУ,2021.07.18,Чигатуссин ХХК, ,,
F20110718JP02768,Кловир 400,Ацикловир,400мг,10x3,шахмал,Жороор,XL Laboratories PVT.Ltd,БНЭУ,2021.07.18,Чигатуссин ХХК,8904172925029,,
F20110718MP02769,Картифаст,Глюкозамин,1500мг,20,нунтаг,Жороор,XL Laboratories PVT.Ltd,БНЭУ,2021.07.18,Чигатуссин ХХК,8906000525692,,
F20110718NP02753,Мирзатен,Миртазапин,30мг,30,бүрхүүлтэй шахмал,Жороор,"KRKA d.d., Novo Mesto",Словени,2021.07.18,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989502195,,
F20110718NP02789,Маброн СР,Трамадолын гидрохлорид,100мг,10,уртасгасан үйлдэлтэй шахмал,Жороор,Medochemie Ltd,Кипр,2021.07.18,Еврофарм ХХК,5290931005976,,
F20110716NP02790,Маброн СР,Трамадолын гидрохлорид,150мг,10,уртасгасан үйлдэлтэй шахмал,Жороор,Medochemie Ltd,Кипр,2021.07.18,Еврофарм ХХК,5290931006003,,
F20110718NP02791,Маброн СР,Трамадолын гидрохлорид,200мг,10,уртасгасан үйлдэлтэй шахмал,Жороор,Medochemie Ltd,Кипр,2021.07.18,Еврофарм ХХК,5290931006034,,
F110718PP02775,Зентел,Албендазол,400мг,1,шахмал,Жороор,Glaxo Smith Kline South Africa (PTY) Limited,ӨАБНУ,2021.07.18,Моносфарм Трейд ХХК, ,,
F110718RP02773,Кетотифен Софарма,Кетотифен,1мг,30,шахмал,Жороор,Sopharma PLC,Болгар,2021.07.18,Волрос ХХК,3800010644488,,
F20110912AP02816,Бидика,Дифенил диметилийн дикарбоксилат,25мг,120,шахмал,Жороор,"Dae Hwa Pharmaceutical Co.,Ltd",БНСУ,2021.09.12,Бүжинлхам ХХК,8806456041015,,
F20110912CP02798,ДИП 10,Нифедипин,10мг,10x10,капсул,Жороор,XL Laboratories PVT.Ltd,БНЭУ,2021.09.12,Чигатуссин ХХК,8904172903966,,
F20110912CP02832,Вазопрен,Эналаприл,5мг,28,шахмал,Жороор,Sopharma PLC,Болгар,2021.09.12,Волрос ХХК,3800010644723,,
F20110912CP02833,Вазопрен,Эналаприл,10мг,28,шахмал,Жороор,Sopharma PLC,Болгар,2021.09.12,Волрос ХХК,3800010644730,,
F20110916CP02834,Вазопрен,Эналаприл,20мг,28,шахмал,Жороор,Sopharma PLC,Болгар,2021.09.12,Волрос ХХК,3800010644747,,
F110912GN02808,Микорил 500,Клотримазол,500мг,1,шахмал,Жоргүй,Remedica Ltd,Кипр,2021.09.12,Монголфарм ХХК,5290665002166,,
